Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cho, Erica",VIS 175 - Editing - Theory & Production (A),WI16,22,11,100.00%,90.90%,6.14,B+ (3.55),B+ (3.37)
"Torres, Josefina E",VIS 177 - Scripting Strategies (A),WI16,20,10,100.00%,100.00%,7.9,B+ (3.60),B (3.28)
"Hock, Louis J.",VIS 180A - Documentary Evidence/Media Pra (A),WI16,17,8,100.00%,100.00%,7.5,A- (3.88),N/A
"Cross, Brian R",VIS 180B - Fic & Allegory/Curr Media Prac (A),WI16,23,18,100.00%,100.00%,7.38,A- (3.75),B+ (3.58)
"Mangolte, Babette",VIS 181 - Sound And Lighting (A),WI16,19,11,100.00%,100.00%,9.61,B+ (3.60),N/A
"Cho, Erica",VIS 183A - Strategies of Self (A),WI16,14,10,90.00%,80.00%,7.5,B+ (3.40),N/A
"Trigilio, Michael",VIS 183B - Strategies of Alterity (A),WI16,16,13,100.00%,100.00%,6.96,B (3.23),N/A
"Dominguez, Ricardo",VIS 2 - Intr/Art-Making:Motn&Time Base (A),WI16,108,58,62.30%,50.90%,3.56,B+ (3.63),B+ (3.67)
"Shen, Kuiyi",VIS 21B - Introduction/Asian Art (A),WI16,190,97,86.20%,78.70%,3.79,A- (3.82),A- (3.79)
"Bryson, William N",VIS 22 - Formations of Modern Art (A),WI16,182,96,90.40%,92.60%,4.28,B+ (3.51),B+ (3.49)
"Bratton, Benjamin H.",VIS 30 - Intro to Speculative Design (A),WI16,31,20,94.70%,89.50%,4.71,B+ (3.69),A- (3.91)
"Stalbaum, Brett",VIS 40 - Introduction/Computing in Arts (A),WI16,43,25,87.50%,87.50%,4.75,A- (3.73),B+ (3.66)
"Caplan, Lana Z",VIS 60 - Intro/Digital Photography (A),WI16,141,94,78.20%,47.10%,5.21,B+ (3.59),B+ (3.31)
"Ortiz-Torres, Ruben",VIS 1 - Intr/Art-Making:2-D Practices (A),FA15,288,161,73.70%,55.10%,4.84,B+ (3.55),B+ (3.55)
"Lim, Won Ju",VIS 105B - Drawing: Practices and Genre (A),FA15,25,17,87.50%,75.00%,3.79,A- (3.87),B+ (3.64)
"Guerrero, Raul M.",VIS 106A - Painting: Image Making (A),FA15,16,8,100.00%,100.00%,5.93,A- (3.88),N/A
"Guerrero, Raul M.",VIS 106B - Painting: Practices and Genre (A),FA15,22,11,90.90%,81.80%,6.5,A- (3.70),A (4.00)
"Eginton, Kelly C.",VIS 107B - Sculpture: Practices & Genre (A),FA15,11,7,100.00%,100.00%,7.64,A (4.00),N/A
"Lim, Won Ju",VIS 108 - Advanced Projects in Art (A),FA15,10,4,100.00%,100.00%,7,A (4.00),N/A
"Adler, Amy","VIS 110C - Proposals, Plans, Presentation (A)",FA15,8,8,100.00%,100.00%,7.36,A (4.00),N/A
"Ortiz-Torres, Ruben",VIS 110M - Studio Honors I (A),FA15,12,8,80.00%,60.00%,5.3,A (4.00),N/A
"Nodelman, Sheldon A.",VIS 120B - Roman Art (A),FA15,29,13,76.90%,30.80%,6,B- (2.83),B- (2.89)
"Bryson, William N",VIS 124BN - Art and the Enlightenment (A),FA15,40,22,95.50%,100.00%,5.59,B+ (3.53),B+ (3.43)
"Newsome, Elizabeth Ann",VIS 126AN - PreColumbian Art/Anc Mex&C Amr (A),FA15,30,17,88.20%,88.20%,5.68,B+ (3.53),B+ (3.34)
"Newsome, Elizabeth Ann",VIS 126D - Prob/Anc Maya Iconogrphy&Inscr (A),FA15,11,2,100.00%,100.00%,11.5,B+ (3.50),N/A
"Shen, Kuiyi",VIS 127B - Arts of China (A),FA15,105,34,81.80%,84.80%,4.75,B+ (3.45),B+ (3.45)
"Kester, Grant",VIS 128C - Topics in Modern Art History (A),FA15,34,20,80.00%,90.00%,5.3,B+ (3.31),B (3.25)
"Stalbaum, Brett",VIS 141B - Computer Programming/Arts II (A),FA15,18,10,90.00%,100.00%,5.9,B+ (3.40),N/A
"Grenader, Emily Ruth",VIS 147A - Electronic Technologies/Art I (A),FA15,54,23,82.60%,82.60%,5.41,B+ (3.64),B+ (3.46)
"Kester, Grant",VIS 158 - Histories of Photography (A),FA15,104,61,89.70%,94.80%,3.84,B+ (3.47),B (3.25)
"Wallen, Ruth",VIS 164 - Photographic Strategies (A),FA15,26,10,100.00%,90.00%,8.5,A- (3.90),B+ (3.68)
"Caplan, Lana Z",VIS 171 - Digital Cinema-Theory/Productn (A),FA15,8,4,100.00%,100.00%,9,A (4.00),N/A
"Karlic, Karolina",VIS 174 - Media Sketchbook (A),FA15,24,9,100.00%,100.00%,7.39,A- (3.78),B+ (3.66)
"Wutz, Andreas E",VIS 174 - Media Sketchbook (B),FA15,24,17,88.20%,64.70%,5.68,A- (3.81),B+ (3.33)
"Miller, Charles G",VIS 175 - Editing - Theory & Production (A),FA15,19,13,92.30%,100.00%,7.12,B+ (3.38),N/A
"Trigilio, Michael",VIS 178 - Sound - Theory and Production (A),FA15,21,19,100.00%,100.00%,8.39,B+ (3.47),B+ (3.51)
"Caplan, Lana Z",VIS 180B - Fic & Allegory/Curr Media Prac (A),FA15,22,17,100.00%,87.50%,9.63,B+ (3.63),B+ (3.66)
"Wutz, Andreas E",VIS 183A - Strategies of Self (A),FA15,19,16,68.80%,68.80%,5,B+ (3.50),N/A
"Cartwright, Lisa",VIS 183B - Strategies of Alterity (A),FA15,19,7,100.00%,100.00%,6.79,A- (3.86),N/A
"Woods, Ann",VIS 20 - Introduction to Art History (A),FA15,277,139,91.70%,97.00%,3.79,B+ (3.63),B+ (3.51)
"Smith, Susan L",VIS 23 - Informtn Technologies/Art Hist (A),FA15,13,10,70.00%,60.00%,5.5,A- (3.80),N/A
"Stalbaum, Brett",VIS 40 - Introduction/Computing in Arts (A),FA15,121,103,81.20%,85.10%,4.71,B+ (3.59),B+ (3.31)
"Karlic, Karolina",VIS 60 - Intro/Digital Photography (A),FA15,149,94,91.00%,91.00%,6.32,A- (3.80),B+ (3.56)
"Trigilio, Michael",VIS 70N - Introduction to Media (A),FA15,84,72,93.00%,95.80%,6.24,B+ (3.49),B (3.26)
"Williams, Alena J",VIS 84 - History Of Film (A),FA15,164,107,89.20%,89.20%,4.48,A- (3.74),B (3.16)
"Lajarin-Encina, Aitor",VIS 106A - Painting: Image Making (A),S215,15,8,100.00%,100.00%,11.5,A- (3.86),N/A
"Porter, Ava Hermine",VIS 194S - Fantasy In Film (A),S215,43,23,86.40%,95.50%,3.86,B+ (3.38),B+ (3.49)
"Li, Huai",VIS 105D - Aesthetics/Chinese Calligraphy (A),S115,16,7,100.00%,100.00%,3.5,A (4.00),N/A
"Crasnow, Sascha Manya",VIS 128C - Topics in Modern Art History (A),S115,11,9,77.80%,77.80%,4.72,A- (3.75),N/A
"Pesch, Katrin",VIS 152 - Film in Social Context (A),S115,16,9,87.50%,75.00%,6.79,B (3.29),N/A
"Anderson, Shane Nicholas",VIS 165 - Camera Tech:Analog Futures (A),S115,19,4,100.00%,75.00%,10,A (4.00),N/A
"Shen, Kuiyi",VIS 21B - Introduction/Asian Art (A),S115,47,16,81.30%,75.00%,3.17,B+ (3.67),B+ (3.46)
"Anderson, Shane Nicholas",VIS 60 - Intro/Digital Photography (A),S115,35,15,92.30%,92.30%,8.65,A- (3.78),B+ (3.70)
"Dominguez, Ricardo",VIS 104A - Performing the Self (A),SP15,17,8,100.00%,100.00%,4.5,A (4.00),N/A
"Bryan, Edgar J",VIS 105A - Drawing: Representing/Subject (A),SP15,28,12,91.70%,91.70%,4.5,A (4.00),A (4.00)
