Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cai, Shengqiang",MAE 130A - Mechanics I: Statics (A),WI16,254,114,97.20%,78.70%,5.83,B+ (3.53),B+ (3.34)
"Bazilevs, Yuri",MAE 130B - Mechanics II: Dynamics (A),WI16,54,18,76.50%,70.60%,6.85,B (3.13),B (3.14)
"Murakami, Hidenori",MAE 130C - Mechanics III: Vibrations (A),WI16,99,48,97.80%,91.30%,6.08,B+ (3.56),B (3.19)
"Lanza Di Scalea, Francesco",MAE 131A - Solid Mechanics I (B),WI16,23,13,91.70%,83.30%,8.5,B+ (3.50),C+ (2.55)
"Markenscoff, Xanthippi",MAE 131B - Solid Mechanics II (A),WI16,19,4,75.00%,0.00%,5,B (3.25),N/A
"Cortes, Jorge",MAE 140 - Linear Circuits (A),WI16,125,52,84.00%,88.00%,7.14,B+ (3.33),B- (2.86)
"Anderson, Mark Ronald",MAE 142 - Dynmcs&Control/Aerospace Vehic (A),WI16,52,14,100.00%,100.00%,4.36,B+ (3.62),B+ (3.48)
"Bitmead, Robert R.",MAE 143A - Signals and Systems (A),WI16,172,70,72.70%,48.50%,8.66,B- (2.95),B (3.08)
"Tolley, Michael Thomas",MAE 150 - Computer-Aided Analysis&Design (A),WI16,63,29,89.30%,92.90%,10.57,B+ (3.48),B- (2.96)
"Anderson, Mark Ronald",MAE 155A - Aerospace Engineering Design I (A),WI16,45,12,100.00%,100.00%,5.5,A- (3.83),A- (3.73)
"Hoople, Gordon",MAE 156A - Fund. Prin./Mechanical Desgn I (A),WI16,34,14,92.90%,92.90%,12.36,B+ (3.43),B (3.24)
"Tustaniwskyj, Jerry I",MAE 156A - Fund. Prin./Mechanical Desgn I (B),WI16,33,8,75.00%,62.50%,14.25,B+ (3.38),B (3.21)
"Tustaniwskyj, Jerry I",MAE 156B - Fund. Prin/Mechanical Desgn II (A),WI16,24,13,92.30%,92.30%,13.58,B+ (3.46),A- (3.70)
"Meyers, Marc",MAE 160 - Mechanical Behavior/Materials (A),WI16,98,32,76.70%,70.00%,5.21,B+ (3.62),B+ (3.39)
"Seshadri, Kalyanasundaram",MAE 171A - Mechanical Engineering Lab I (A),WI16,94,31,70.00%,63.30%,6.37,B+ (3.43),B+ (3.67)
"de Callafon, Raymond A",MAE 175A - Aerospace Engineering Lab (A),WI16,49,14,92.30%,76.90%,7.58,A- (3.77),B+ (3.47)
"Bandaru, Prabhakar",MAE 20 - Elements of Materials Science (A),WI16,35,8,62.50%,87.50%,6,B+ (3.63),B+ (3.31)
