Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Boyle, Mary E. T.",COGS 107A - Neuroanatomy and Physiology (A),S116,72,24,91.30%,69.60%,13.89,B (3.00),B- (3.00)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),S116,23,7,85.70%,85.70%,5.64,B+ (3.40),A (4.00)
"Gonzalez, Marybel Robledo",COGS 115 - Neurologcl Devlp & Cogntv Chng (A),S116,17,7,100.00%,100.00%,6.21,B+ (3.50),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),S116,25,13,100.00%,100.00%,5.61,B+ (3.43),B+ (3.57)
"Pineda, Jaime A",COGS 171GS - Mirror Neuron System (A),S116,27,6,83.30%,83.30%,6.83,B+ (3.67),B+ (3.70)
"Pineda, Jaime A","COGS 174GS - Drugs: Brain, Mind and Culture (A)",S116,27,6,100.00%,83.30%,6.17,B+ (3.67),A- (3.76)
"Barrera, Steven James",COGS 1 - Introduction to Cognitive Sci (A),SP16,348,142,95.50%,99.20%,4.03,B+ (3.65),B+ (3.33)
"Bergen, Benjamin",COGS 101C - Language (A),SP16,241,94,84.60%,85.70%,4.43,B (3.25),B- (2.83)
"Renner, Nancy Owens",COGS 102C - Cognitive Design Studio (A),SP16,154,44,97.60%,90.50%,6.64,A- (3.88),B+ (3.50)
"Chukoskie, Leanne",COGS 107C - Cognitive Neuroscience (A),SP16,184,63,70.00%,60.00%,4.5,B (3.19),B- (2.99)
"Weibel, Nadir",COGS 121 - Human Comptr Interac Prog Stud (A),SP16,73,20,64.70%,41.20%,10.03,B (3.29),B+ (3.48)
"Johnson, Christine M.",COGS 143 - Animal Cognition (A),SP16,38,14,100.00%,92.30%,5.41,B (3.10),B (3.09)
"Creel, Sarah",COGS 14A - Intro. to Research Methods (A),SP16,137,53,77.60%,73.50%,3.63,B+ (3.49),B (3.03)
"Nunez, Rafael E",COGS 14B - Intro. to Statistical Analysis (A),SP16,97,37,66.70%,72.20%,4.44,B (3.28),B- (2.73)
"Yang, Dorothy Daw-Shin",COGS 154 - Comm Disorders/Children&Adults (A),SP16,112,45,100.00%,93.00%,4.13,B+ (3.31),B (3.09)
"Creel, Sarah",COGS 156 - Language Development (A),SP16,64,23,76.20%,76.20%,4.88,B+ (3.35),B (3.20)
"Coulson, Seana M",COGS 160 - Seminar on Special Topics (A),SP16,2,1,100.00%,100.00%,2.5,A (4.00),N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),SP16,7,5,75.00%,100.00%,8,A (4.00),N/A
"Mukamel, Eran A",COGS 160 - Seminar on Special Topics (C),SP16,10,8,100.00%,100.00%,4.21,A- (3.88),N/A
"Rossano, Federico",COGS 160 - Seminar on Special Topics (D),SP16,11,7,100.00%,100.00%,3.07,B+ (3.67),N/A
"Dow, Steven P",COGS 160 - Seminar on Special Topics (E),SP16,29,12,100.00%,100.00%,9.23,A- (3.92),B+ (3.44)
"Dow, Steven P",COGS 160 - Seminar on Special Topics (F),SP16,25,10,100.00%,100.00%,6.1,B+ (3.67),B+ (3.44)
"Boyle, Mary E. T.",COGS 163 - Metabolic Disorders/Brain (A),SP16,41,17,87.50%,75.00%,7.25,B+ (3.69),A- (3.76)
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),SP16,117,46,86.40%,93.20%,5.36,B (3.13),B- (2.73)
"Yu, Angela J.",COGS 180 - Neural Coding/Sensory Systems (B),SP16,8,7,85.70%,85.70%,8.21,B (3.29),N/A
"Tu, Zhuowen",COGS 185 - Adv. Machine Learning Methods (A),SP16,42,18,100.00%,100.00%,8.5,A (4.00),A- (3.77)
"Kernell, Samuel H.",No CAPEs submitted,SP16,1,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),SP16,81,35,80.00%,74.30%,6.96,B+ (3.48),B+ (3.56)
"Pineda, Jaime A",COGS 87 - Freshman Seminar (A),SP16,17,10,100.00%,80.00%,0.5,N/A,N/A
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (B),SP16,5,3,100.00%,100.00%,1.17,N/A,N/A
"Voytek, Bradley Thomas",COGS 9 - Introduction to Data Science (A),SP16,99,38,97.20%,97.20%,2.06,A- (3.94),A- (3.92)
"Klemmer, Scott R",No CAPEs submitted,SP16,13,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 1 - Introduction to Cognitive Sci (A),WI16,236,147,79.70%,60.90%,5.22,B- (2.85),B- (2.74)
"Barrera, Steven James","COGS 101B - Learning, Memory and Attention (A)",WI16,309,180,97.10%,98.90%,4.35,B+ (3.54),B (3.23)
"Renner, Nancy Owens",COGS 102B - Cognitive Ethnography (A),WI16,222,114,70.90%,88.20%,4.39,A- (3.81),B+ (3.59)
"Alexander, Andrew Spencer",COGS 107B - Systems Neuroscience (A),WI16,220,178,92.10%,91.50%,5.38,B (3.26),B (3.01)
"Boroditsky, Lera",COGS 11 - Minds & Brains (A),WI16,74,38,97.20%,94.40%,4.67,B (3.28),B (3.16)
"Blumenthal, Emily Jeanne",COGS 110 - The Developing Mind (A),WI16,70,60,93.30%,91.70%,3.75,B+ (3.35),B (3.11)
"Tu, Zhuowen",COGS 118A - Natural Computation I (A),WI16,74,38,97.20%,86.10%,8.56,B+ (3.48),B+ (3.67)
"Saygin, Ayse P",COGS 119 - Programming/Experimental Res. (A),WI16,9,6,80.00%,100.00%,8.5,B+ (3.60),N/A
"Klemmer, Scott R",COGS 120 - Interaction Design (A),WI16,112,48,90.50%,92.90%,9.96,B+ (3.59),B+ (3.58)
"Rossano, Federico",COGS 14A - Intro. to Research Methods (A),WI16,166,120,79.70%,91.50%,3.54,B+ (3.35),B (3.03)
"Nunez, Rafael E",COGS 14B - Intro. to Statistical Analysis (A),WI16,127,65,80.30%,62.30%,4.03,B (3.08),C+ (2.45)
"Coulson, Seana M",COGS 151 - Analogy and Conceptual Systems (A),WI16,10,6,83.30%,100.00%,6.83,A- (3.83),N/A
"Nunez, Rafael E",COGS 152 - Cognitive Foundations of Math (A),WI16,17,7,100.00%,100.00%,4.79,C+ (2.60),N/A
"Bergen, Benjamin",COGS 153 - Language Comprehension (A),WI16,26,14,92.30%,100.00%,4.96,B+ (3.62),A- (3.76)
"Bergen, Benjamin",COGS 160 - Seminar on Special Topics (A),WI16,4,1,100.00%,100.00%,2.5,A (4.00),N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),WI16,11,5,80.00%,100.00%,8.9,A (4.00),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),WI16,142,71,82.60%,92.80%,5.75,B (3.18),B (3.02)
"Pineda, Jaime A","COGS 174 - Drugs: Brain, Mind and Culture (A)",WI16,98,39,89.20%,86.50%,5.42,B (3.18),B- (2.97)
"Johnson, Christine M.",COGS 184 - Modeling/Evolution of Cognitn (A),WI16,10,3,100.00%,100.00%,13.17,B+ (3.50),N/A
"Kirsh, David Joel",COGS 187A - Usability & Info. Architecture (A),WI16,77,28,80.00%,88.00%,8.59,A- (3.78),A- (3.80)
"Kirsh, David Joel",COGS 187B - Practicum in Pro Web Design (A),WI16,37,16,100.00%,81.30%,9.13,B+ (3.69),B+ (3.63)
"De Sa, Virginia",COGS 189 - Brain Computer Interfaces (A),WI16,15,5,100.00%,100.00%,6.9,A- (3.75),N/A
"Kernell, Samuel H.",No CAPEs submitted,WI16,1,0,N/A,N/A,N/A,N/A,N/A
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),WI16,87,36,73.50%,91.20%,8.74,B+ (3.30),B+ (3.67)
"Tibbles, Richard",COGS 8 - Hands-On Computing (A),WI16,25,18,100.00%,100.00%,2.75,B+ (3.53),B+ (3.68)
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),WI16,13,9,100.00%,100.00%,0.72,N/A,N/A
"Pineda, Jaime A",COGS 87 - Freshman Seminar (B),WI16,31,24,100.00%,100.00%,1.02,A- (3.83),N/A
"Hollan, James D.",COGS 90 - Undergraduate Seminar (A),WI16,8,4,100.00%,100.00%,0.5,N/A,N/A
"Voytek, Bradley Thomas",COGS 1 - Introduction to Cognitive Sci (B),FA15,333,164,91.30%,97.30%,2.86,B+ (3.66),B+ (3.53)
"Barrera, Steven James",COGS 101A - Sensation and Perception (A),FA15,304,174,97.00%,99.40%,4.64,B+ (3.52),B (3.22)
"Renner, Nancy Owens",COGS 102A - Distributed Cognition (A),FA15,201,125,78.00%,81.30%,5.28,B+ (3.34),B+ (3.55)
"Pineda, Jaime A",COGS 107A - Neuroanatomy and Physiology (A),FA15,217,139,92.60%,89.00%,5.55,B+ (3.42),B- (2.99)
"Tu, Zhuowen",COGS 109 - Modeling & Data Analysis (A),FA15,148,60,76.40%,65.50%,6.86,B+ (3.56),B+ (3.44)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),FA15,81,41,92.70%,97.60%,4.8,B+ (3.51),B (3.15)
"Deak, Gedeon O.",COGS 115 - Neurologcl Devlp & Cogntv Chng (A),FA15,49,27,84.60%,84.60%,5.73,B+ (3.32),B+ (3.38)
"De Sa, Virginia",COGS 118B - Natural Computation II (A),FA15,25,11,100.00%,100.00%,7.5,B+ (3.55),A- (3.87)
"Boroditsky, Lera","COGS 12 - Language, Culture & Cognition (A)",FA15,33,17,93.80%,93.80%,2.5,B+ (3.60),A (4.00)
"Johnson, Christine M.",COGS 143 - Animal Cognition (A),FA15,41,19,89.50%,94.70%,5.45,B (3.29),B+ (3.36)
"Barrera, Steven James",COGS 14A - Intro. to Research Methods (A),FA15,149,85,91.10%,97.50%,3.96,B+ (3.49),B (3.21)
"Bergen, Benjamin",COGS 15 - Uncensored Intro. to Language (A),FA15,47,20,100.00%,100.00%,3.17,B (3.20),B (3.28)
"Klemmer, Scott R",COGS 160 - Seminar on Special Topics (A),FA15,20,4,75.00%,50.00%,6.5,B+ (3.33),B+ (3.64)
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),FA15,10,3,100.00%,100.00%,9.17,A (4.00),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),FA15,106,56,96.20%,92.50%,4.97,B+ (3.36),B (3.07)
"Pineda, Jaime A",COGS 171 - Mirror Neuron System (A),FA15,46,16,85.70%,64.30%,3.64,B (3.21),B (3.17)
"Coulson, Seana M",COGS 179 - Electrophysiology of Cognition (A),FA15,14,1,100.00%,100.00%,4.5,A (4.00),N/A
"Boyle, Mary E. T.",COGS 187A - Usability & Info. Architecture (A),FA15,74,29,88.90%,85.20%,6.35,A- (3.71),B+ (3.55)
"Kernell, Samuel H.",No CAPEs submitted,FA15,1,0,N/A,N/A,N/A,N/A,N/A
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),FA15,20,10,100.00%,100.00%,0.5,A (4.00),N/A
"Voytek, Bradley Thomas",COGS 9 - Introduction to Data Science (A),FA15,48,25,100.00%,100.00%,4.41,A- (3.90),B+ (3.59)
"Hollan, James D.",DSGN 1 - Design of Everyday Things (A),FA15,43,32,90.30%,100.00%,4.82,B+ (3.59),B+ (3.54)
"Norman, Donald A.",DSGN 1 - Design of Everyday Things (A),FA15,40,32,90.30%,93.50%,4.82,B+ (3.59),B+ (3.54)
"Johnson, Christine M.",COGS 102A - Distributed Cognition (A),S215,43,15,73.30%,73.30%,4.23,B+ (3.47),B (3.11)
"Alexander, Andrew Spencer",COGS 107B - Systems Neuroscience (A),S215,35,25,96.00%,100.00%,6.74,B+ (3.33),B (3.18)
"Olson, Jacob Michael",COGS 109 - Modeling & Data Analysis (A),S215,38,29,92.60%,100.00%,8.94,B (3.19),B (3.29)
"Metusalem, Ross",COGS 153 - Language Comprehension (A),S215,18,8,100.00%,100.00%,6.5,B+ (3.50),N/A
"Datko, Michael","COGS 174 - Drugs: Brain, Mind and Culture (A)",S215,24,19,100.00%,100.00%,3.45,B+ (3.53),B (3.13)
"Boyle, Mary E. T.",COGS 187A - Usability & Info. Architecture (A),S215,29,5,100.00%,100.00%,8.5,A- (3.80),A- (3.80)
"Boyle, Mary E. T.",COGS 3 - An Introduction to Computing (A),S215,22,3,100.00%,100.00%,13.5,B+ (3.67),A- (3.97)
"Walker, Esther J.","COGS 101B - Learning, Memory and Attention (A)",S115,14,8,100.00%,100.00%,4.5,A- (3.75),N/A
"Coulson, Seana M",COGS 101C - Language (A),S115,14,5,80.00%,100.00%,5.3,B+ (3.40),N/A
"Boyle, Mary E. T.",COGS 107A - Neuroanatomy and Physiology (A),S115,54,14,85.70%,92.90%,9.88,B (3.07),B+ (3.68)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),S115,16,4,75.00%,75.00%,5.5,A- (3.75),N/A
"Marghetis, Tyler",COGS 14A - Intro. to Research Methods (A),S115,36,15,66.70%,100.00%,5.83,B (3.07),B+ (3.34)
"Ellis, Erica Michelle",COGS 154 - Comm Disorders/Children&Adults (A),S115,34,22,100.00%,95.50%,5.23,B+ (3.43),B+ (3.55)
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),S115,20,8,100.00%,100.00%,6.75,A- (3.88),B+ (3.65)
"Pineda, Jaime A",COGS 171GS - Mirror Neuron System (A),S115,28,3,100.00%,100.00%,5.83,B+ (3.33),B+ (3.50)
"Pineda, Jaime A","COGS 174GS - Drugs: Brain, Mind and Culture (A)",S115,28,3,100.00%,100.00%,5.17,A (4.00),B+ (3.42)
"Gupta, Anjum",COGS 188 - AI Algorithm & Social Language (A),S115,17,1,100.00%,100.00%,2.5,B (3.00),N/A
"Barrera, Steven James",COGS 1 - Introduction to Cognitive Sci (A),SP15,289,136,90.80%,99.20%,3.21,B+ (3.59),B (3.25)
"Bergen, Benjamin",COGS 101C - Language (A),SP15,212,70,82.10%,88.10%,4.68,B+ (3.36),B- (2.91)
"Hollan, James D.",COGS 102C - Cognitive Design Studio (A),SP15,122,26,80.80%,65.40%,7.38,B+ (3.46),B+ (3.38)
"Jernigan, Terry Lynne",COGS 107C - Cognitive Neuroscience (A),SP15,178,57,58.50%,50.90%,4.8,B+ (3.43),B (3.16)
"Boyle, Mary E. T.",COGS 11 - Minds & Brains (A),SP15,82,32,90.00%,73.30%,4.57,B (3.25),B (3.08)
"Blumenthal, Emily Jeanne",COGS 110 - The Developing Mind (A),SP15,48,33,80.60%,93.50%,3.03,B+ (3.40),B+ (3.35)
"Weibel, Nadir",COGS 121 - Human Comptr Interac Prog Stud (A),SP15,65,19,66.70%,77.80%,6.25,B (3.18),B+ (3.45)
"Barrera, Steven James",COGS 14A - Intro. to Research Methods (A),SP15,176,108,94.30%,99.00%,4.34,B+ (3.68),B (3.22)
"Mukamel, Eran A",COGS 14B - Intro. to Statistical Analysis (A),SP15,87,29,85.20%,77.80%,4.13,B+ (3.48),B+ (3.43)
"Bergen, Benjamin",COGS 15 - Uncensored Intro. to Language (A),SP15,54,29,57.10%,75.00%,3.24,B+ (3.32),B- (2.96)
"Marghetis, Tyler",COGS 152 - Cognitive Foundations of Math (A),SP15,32,18,94.40%,100.00%,4.61,B (3.27),B (3.27)
"Ellis, Erica Michelle",COGS 154 - Comm Disorders/Children&Adults (A),SP15,139,95,95.80%,97.90%,4.37,A- (3.72),B+ (3.35)
"Nunez, Rafael E",COGS 155 - Gesture and Cognition (A),SP15,36,9,100.00%,100.00%,4.06,B+ (3.56),B- (2.79)
"Creel, Sarah",COGS 157 - Music and the Mind (A),SP15,32,11,72.70%,90.90%,3.95,B+ (3.40),B (3.20)
"Coulson, Seana M",COGS 160 - Seminar on Special Topics (A),SP15,11,3,100.00%,100.00%,1.5,A (4.00),N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),SP15,7,4,100.00%,100.00%,10.5,A (4.00),N/A
"Boyle, Mary E. T.",COGS 163 - Metabolic Disorders/Brain (A),SP15,17,7,100.00%,100.00%,4.83,A- (3.83),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),SP15,68,28,85.20%,85.20%,4.81,B+ (3.36),B- (2.97)
"Tu, Zhuowen",COGS 185 - Adv. Machine Learning Methods (A),SP15,13,10,100.00%,100.00%,10.5,A- (3.88),N/A
"Voytek, Bradley Thomas",COGS 3 - An Introduction to Computing (A),SP15,91,40,94.70%,92.10%,2.5,A- (3.83),B+ (3.46)
"Karnowski, Jeremy Benjamin",COGS 8 - Hands-On Computing (A),SP15,16,14,92.30%,84.60%,4.35,B+ (3.46),N/A
"Deak, Gedeon O.",COGS 87 - Freshman Seminar (A),SP15,16,7,100.00%,100.00%,0.5,N/A,N/A
"Klemmer, Scott R",COGS 90 - Undergraduate Seminar (A),SP15,13,4,100.00%,100.00%,7.83,N/A,N/A
"Boyle, Mary E. T.",COGS 1 - Introduction to Cognitive Sci (A),WI15,235,101,74.70%,80.00%,4.03,B (3.18),C+ (2.64)
"Hollan, James D.",COGS 10 - Cognitv Consequence/Technology (A),WI15,23,12,66.70%,66.70%,3.67,B (3.22),B (3.07)
"Barrera, Steven James","COGS 101B - Learning, Memory and Attention (A)",WI15,245,137,97.80%,98.50%,4.71,B+ (3.46),B (3.20)
"McComsey, Melanie E",COGS 102B - Cognitive Ethnography (A),WI15,183,121,48.30%,60.80%,4.82,B+ (3.61),B+ (3.47)
"Nitz, Douglas A.",COGS 107B - Systems Neuroscience (A),WI15,195,73,92.60%,95.60%,5.53,B+ (3.52),B- (2.86)
"Boroditsky, Lera",COGS 11 - Minds & Brains (A),WI15,61,29,96.60%,96.60%,3.71,B+ (3.46),B (3.28)
"Haist, Frank",COGS 115 - Neurologcl Devlp & Cogntv Chng (A),WI15,32,12,90.90%,100.00%,3.59,B+ (3.44),B (3.19)
"Tu, Zhuowen",COGS 118A - Natural Computation I (A),WI15,22,11,100.00%,90.00%,9.1,A- (3.89),B+ (3.44)
"Klemmer, Scott R",COGS 120 - Introduction to HCI Design (A),WI15,119,59,85.20%,83.30%,9.81,B+ (3.38),B (3.25)
"Creel, Sarah",COGS 14A - Intro. to Research Methods (A),WI15,138,63,83.10%,78.00%,3.43,B+ (3.50),B (3.12)
"Nunez, Rafael E",COGS 152 - Cognitive Foundations of Math (A),WI15,24,7,83.30%,100.00%,5.83,B+ (3.40),B (3.04)
"Bergen, Benjamin",COGS 153 - Language Comprehension (A),WI15,39,14,78.60%,100.00%,4.5,B+ (3.50),B+ (3.46)
"Bergen, Benjamin",No CAPEs submitted,WI15,3,0,N/A,N/A,N/A,N/A,N/A
"Deak, Gedeon O.",COGS 160 - Seminar on Special Topics (B),WI15,8,2,100.00%,100.00%,5.5,B+ (3.50),N/A
"Chiba, Andrea",COGS 160 - Seminar on Special Topics (C),WI15,19,6,75.00%,75.00%,4,A- (3.75),N/A
"Johnson, Christine M.",COGS 17 - Neurobiology of Cognition (A),WI15,92,41,77.50%,72.50%,4.6,B (3.13),B (3.17)
