Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Salehi Golsefidy, Alireza",MATH 109 - Mathematical Reasoning (A),FA16,138,65,83.60%,86.90%,7.81,B (3.17),C+ (2.69)
"Rogalski, Daniel",MATH 109 - Mathematical Reasoning (B),FA16,102,47,93.20%,97.70%,8.65,B (3.18),B- (2.83)
"Chow, Bennett",MATH 109 - Mathematical Reasoning (C),FA16,98,33,83.30%,66.70%,7.6,B (3.27),B- (2.96)
"Conant, James R",MATH 109 - Mathematical Reasoning (D),FA16,105,55,82.60%,95.70%,5.91,B+ (3.33),B- (2.77)
"Longo, Brian Mitchell",MATH 10A - Calculus I (A),FA16,212,114,88.60%,95.20%,5.96,B- (2.99),C+ (2.60)
"Eggers, John Dietrich",MATH 10A - Calculus I (B),FA16,213,100,82.40%,61.50%,5.83,B- (2.94),C+ (2.42)
"Aghajani, Mohammadreza",MATH 10A - Calculus I (C),FA16,195,89,87.50%,50.00%,5.87,B (3.06),C+ (2.50)
"Curry, Sean N",MATH 10B - Calculus II (A),FA16,264,135,77.60%,72.80%,6.07,B (3.16),B- (2.79)
"Stone, Corey Dean",MATH 10B - Calculus II (B),FA16,220,118,74.50%,71.70%,6.66,B- (2.85),B- (2.77)
"Xin, Guoce",MATH 10C - Calculus III (A),FA16,193,87,69.60%,30.40%,7.12,B- (2.96),B- (2.82)
"Jolany, Hassan",MATH 10C - Calculus III (B),FA16,220,115,88.90%,88.00%,5.85,A- (3.82),B+ (3.65)
"Quarfoot, David James",MATH 11 - Calculus-Based Prob & Stats (A),FA16,179,87,98.80%,95.30%,7.08,B+ (3.61),B (3.29)
"Schweinsberg, Jason",MATH 11 - Calculus-Based Prob & Stats (B),FA16,197,116,83.90%,95.50%,7.27,B+ (3.40),B- (2.94)
"Li, Bo",MATH 110A - Intro/Partial Differ Equations (A),FA16,82,38,62.20%,67.60%,7.01,B (3.00),B- (2.79)
"Meyer, David A.",MATH 111A - Mathematical Modeling I (A),FA16,34,17,100.00%,100.00%,5.64,B+ (3.60),A- (3.88)
"Rabin, Jeffrey Mark",MATH 120A - Elements of Complex Analysis (A),FA16,70,21,73.70%,73.70%,6.5,B (3.22),C+ (2.45)
"Wenzl, Hans G",MATH 130A - Ordinary Differntl Equation I (A),FA16,96,26,83.30%,70.80%,6.5,B+ (3.67),B (3.03)
"Chow, Bennett",MATH 140A - Foundations of Real Analysis I (A),FA16,61,28,85.20%,88.90%,11.5,B (3.12),B- (2.82)
"Sterbenz, Jacob",MATH 140A - Foundations of Real Analysis I (B),FA16,15,8,100.00%,57.10%,13.64,C (2.14),N/A
"Ioana, Adrian",MATH 142A - Introduction to Analysis I (A),FA16,72,27,76.00%,96.00%,7.2,B- (2.92),C+ (2.33)
"Zlatos, Andrej",MATH 142A - Introduction to Analysis I (B),FA16,48,21,44.40%,27.80%,8.97,B (3.24),B- (2.78)
"Curry, Sean N",MATH 142A - Introduction to Analysis I (C),FA16,64,30,65.50%,82.80%,8.35,B (3.18),C (2.19)
"Izadi, Elham",MATH 150A - Differential Geometry (A),FA16,23,11,81.80%,100.00%,8.14,B (3.18),B- (2.98)
"Gawlik, Evan Scott",MATH 170A - Intro Numerical Analys/Linear (A),FA16,202,71,82.90%,98.60%,7.36,B+ (3.57),B- (2.89)
"Huynh, Thang L",MATH 170A - Intro Numerical Analys/Linear (B),FA16,67,20,100.00%,81.30%,5.63,B+ (3.56),B+ (3.65)
"Cheng, Li-Tien",MATH 174 - Numericl Methods/Physcl Modlng (A),FA16,48,17,94.10%,94.10%,7.83,B (3.25),C+ (2.44)
"Dilts, James Paul",MATH 18 - Linear Algebra (A),FA16,208,173,85.30%,83.50%,7.19,B (3.08),B- (2.94)
"Drimbe, Daniel",MATH 18 - Linear Algebra (B),FA16,179,91,73.80%,33.80%,6.78,B (3.04),C+ (2.62)
"Buskin, Nikolay",MATH 18 - Linear Algebra (C),FA16,285,152,90.30%,36.80%,5.69,B+ (3.54),B (3.08)
"Harel, Guershon",MATH 18 - Linear Algebra (D),FA16,201,94,86.40%,60.20%,7.15,B (3.28),C+ (2.49)
"Schweinsberg, Jason",MATH 180A - Introduction to Probability (A),FA16,305,142,96.30%,97.00%,8.44,B+ (3.43),B (3.05)
"Aghajani, Mohammadreza",MATH 180A - Introduction to Probability (B),FA16,163,62,86.40%,66.10%,7.44,B+ (3.35),B- (2.72)
"Xu, Ronghui",MATH 181B - Intro/Math Statistics II (A),FA16,65,20,84.20%,78.90%,7.72,B+ (3.50),B- (2.92)
"Kane, Daniel Mertz",MATH 184A - Combinatorics (A),FA16,178,66,77.40%,80.60%,9.8,B (3.12),B (3.12)
"Bach, Quang Tran",MATH 2 - Intro to College Mathematics (A),FA16,32,17,93.80%,100.00%,5.88,C+ (2.56),N/A
"Bach, Quang Tran",MATH 2 - Intro to College Mathematics (B),FA16,10,5,100.00%,100.00%,4.1,B (3.00),N/A
"Dewey, Edward Harold",MATH 20A - Calculus/Science & Engineering (A),FA16,262,137,93.90%,85.60%,6.12,B+ (3.50),B- (2.87)
"Bowers, Adam R.",MATH 20A - Calculus/Science & Engineering (B),FA16,191,89,96.50%,97.60%,6.7,B (3.23),C+ (2.38)
"Quarfoot, David James",MATH 20A - Calculus/Science & Engineering (C),FA16,214,121,99.10%,97.40%,5.75,B+ (3.49),C+ (2.50)
"Um, Ko Woon",MATH 20A - Calculus/Science & Engineering (D),FA16,198,94,94.30%,67.00%,5.55,B+ (3.49),C+ (2.51)
"Eggers, John Dietrich",MATH 20B - Calculus/Science & Engineering (A),FA16,317,165,71.60%,53.50%,7.49,B- (2.71),C+ (2.56)
"Um, Ko Woon",MATH 20B - Calculus/Science & Engineering (B),FA16,188,110,88.20%,68.60%,7.21,B+ (3.37),C+ (2.40)
"Deotte, Christopher George",MATH 20B - Calculus/Science & Engineering (C),FA16,211,111,97.10%,96.20%,5.41,B+ (3.48),B (3.19)
"Buskin, Nikolay",MATH 20B - Calculus/Science & Engineering (D),FA16,272,155,75.50%,14.60%,7.17,B (3.13),B- (2.75)
"Jolany, Hassan",MATH 20B - Calculus/Science & Engineering (E),FA16,103,58,92.30%,69.20%,5.46,B+ (3.62),C+ (2.66)
"Tucker, Henry Jackson",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A),FA16,182,125,66.90%,8.50%,8.34,B- (2.89),B- (2.80)
"Salehi Golsefidy, Alireza",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B),FA16,336,253,90.90%,94.20%,7.14,B+ (3.45),B- (2.77)
"Tesler, Glenn",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C),FA16,330,161,89.90%,65.50%,6.71,B (3.24),B- (2.73)
"Conant, James R",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (D),FA16,376,207,95.40%,97.00%,5.33,A- (3.71),B (3.24)
"Barrese, Kenneth William",MATH 20C - Calculus&Analyt Geom/Sci&Engnr (E),FA16,281,132,88.70%,61.30%,6.58,B (3.20),B- (2.71)
"Bowers, Adam R.",MATH 20D - Intro/Differential Equations (A),FA16,316,151,95.70%,99.30%,6.54,B+ (3.42),B- (2.81)
"Bejenaru, Ioan",MATH 20D - Intro/Differential Equations (B),FA16,190,89,90.60%,87.10%,6.67,B+ (3.39),B- (2.73)
"Barrese, Kenneth William",MATH 20D - Intro/Differential Equations (C),FA16,181,59,78.20%,65.50%,7.13,B (3.15),C+ (2.63)
"Stone, Corey Dean",MATH 20D - Intro/Differential Equations (D),FA16,243,92,91.00%,75.30%,7.63,B (3.26),B- (2.71)
"Huynh, Thang L",MATH 20E - Vector Calculus (A),FA16,341,171,87.40%,79.20%,7.24,B+ (3.48),B (3.15)
"Saab, Rayan",MATH 20E - Vector Calculus (B),FA16,271,184,79.70%,90.40%,7.37,B (3.27),B- (2.78)
"Ioana, Adrian",MATH 31AH - Honors Linear Algebra (A),FA16,67,38,83.80%,91.90%,7.61,B+ (3.56),C+ (2.67)
"Longo, Brian Mitchell",MATH 3C - Precalculus (A),FA16,124,66,83.30%,93.30%,6.36,B- (2.89),C- (1.99)
"Schmitt, Jeremy M",MATH 3C - Precalculus (B),FA16,117,53,79.20%,87.50%,6.29,B- (2.87),C- (1.90)
"Sangha, Luvreet Singh",MATH 4C - Pre-calculus for Sci & Engn (A),FA16,100,80,85.90%,91.00%,7.82,B (3.04),C+ (2.44)
"Harel, Guershon",MATH 87 - Freshman Seminar (A),FA16,14,8,100.00%,100.00%,0.83,A (4.00),N/A
"Bunch, James R.",MATH 87 - Freshman Seminar (B),FA16,16,13,100.00%,100.00%,1.27,A (4.00),N/A
"Kane, Daniel Mertz",MATH 96 - Putnam Seminar (0),FA16,9,5,80.00%,80.00%,8,N/A,N/A
"Jiang, Zonglin",MATH 102 - Applied Linear Algebra (A),S216,101,30,80.00%,80.00%,9.5,B+ (3.43),C+ (2.53)
