Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Anderson, Michael G.","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",S113,36,8,100.00%,100.00%,5.64,B+ (3.50),B+ (3.40)
"Grohs, Evan B",PHYS 2A - Physics-Mechanics (A),S113,81,15,80.00%,73.30%,13.57,B- (2.73),B- (2.79)
"Stergiou, Andreas",PHYS 2B - Phys-Electricity and Magnetism (A),S113,93,19,87.50%,87.50%,8.5,B+ (3.31),C+ (2.59)
"Lee, Christopher Jaesung",PHYS 2BL - Phys Lab-Mechanics&Electrostat (A),S113,44,9,55.60%,88.90%,6.94,B+ (3.44),B- (2.95)
"Stanley, Jacob T","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",S113,85,24,82.60%,91.30%,9.32,B (3.10),B- (2.89)
"Shpyrko, Oleg",PHYS 100C - Electromagnetism (A),SP13,31,10,88.90%,88.90%,6.28,A- (3.89),B+ (3.54)
"Murphy, Thomas",PHYS 12 - Energy and the Environment (A),SP13,44,22,68.20%,86.40%,3.77,B+ (3.44),B (3.15)
"Kleinfeld, David",PHYS 120A - Physical Measurements (A),SP13,44,16,50.00%,12.50%,12.9,B+ (3.53),B+ (3.33)
"Anderson, Michael G.",PHYS 130A - Quantum Physics I (A),SP13,56,22,95.50%,59.10%,9.14,B+ (3.43),B- (2.89)
"Maple, M. Brian",PHYS 133 - Condensed Matter/Material Sci (A),SP13,14,4,75.00%,100.00%,6,B (3.25),N/A
"Intriligator, Kenneth Arthur",PHYS 137 - String Theory (A),SP13,9,5,100.00%,100.00%,6,A (4.00),N/A
"Kuti, Julius",PHYS 142 - Comp Phys II:PDE & Matrix Modl (A),SP13,5,3,100.00%,100.00%,6.5,B+ (3.67),N/A
"Dubin, Daniel Herschel",PHYS 151 - Elementary Plasma Physics (A),SP13,6,3,100.00%,100.00%,10.5,B (3.00),N/A
"Branson, James G",PHYS 154 - Elementary Particle Physics (A),SP13,10,4,75.00%,100.00%,10.5,B+ (3.33),N/A
"Keating, Brian",PHYS 162 - Galaxies and Cosmology (A),SP13,18,13,84.60%,61.50%,4.67,B (3.08),N/A
"Tsai, Philbert S",PHYS 173 - Modern Physics Lab:Bio&Quantum (A),SP13,8,14,100.00%,100.00%,3.88,B+ (3.58),N/A
"Jun, Suckjoon",PHYS 177 - Physics of the Cell (A),SP13,1,1,0.00%,0.00%,0,N/A,N/A
"Kritsuk, Alexei",PHYS 1A - Mechanics (A),SP13,254,79,66.70%,44.90%,5.89,B- (2.99),B- (2.97)
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (A),SP13,261,75,74.30%,68.90%,3.81,B+ (3.55),B+ (3.39)
"Sinha, Sunil K",PHYS 1B - Electricity and Magnetism (A),SP13,138,44,58.10%,74.40%,5.9,B (3.26),B- (2.90)
"Yagil, Avi",PHYS 1BL - Electricity & Magnetism Lab (A),SP13,126,38,78.90%,89.50%,3.89,B+ (3.53),B+ (3.34)
"Kishimoto, Chad T.","PHYS 1C - Waves, Optics & Modern Physics (A)",SP13,192,101,75.20%,64.40%,5.82,B (3.24),B (3.10)
"Kishimoto, Chad T.","PHYS 1C - Waves, Optics & Modern Physics (B)",SP13,78,40,77.50%,72.50%,6.15,B (3.13),B (3.10)
"Paddock, Mark","PHYS 1C - Waves, Optics & Modern Physics (C)",SP13,189,125,85.40%,97.60%,4.78,B+ (3.52),B (3.18)
"Yagil, Avi","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",SP13,446,161,71.10%,76.10%,3.52,B+ (3.50),B+ (3.42)
"Dudko, Olga",PHYS 2A - Physics-Mechanics (A),SP13,324,120,89.90%,93.30%,6.88,B (3.17),B- (2.92)
"Lin, Shiowhwa",PHYS 2A - Physics-Mechanics (B),SP13,128,36,85.70%,54.30%,5.17,B (3.00),C+ (2.63)
"Anderson, Michael G.",PHYS 2B - Phys-Electricity and Magnetism (A),SP13,340,118,93.10%,96.60%,6.29,B (3.11),B- (2.76)
"Michelsen, Eric Leonard",PHYS 2B - Phys-Electricity and Magnetism (B),SP13,354,149,91.90%,89.20%,5.5,B (3.28),B- (2.95)
"Sharma, Vivek A.",PHYS 2BL - Phys Lab-Mechanics&Electrostat (A),SP13,243,88,56.80%,81.80%,6.25,B (3.24),B- (2.96)
"Wuerthwein, Frank","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",SP13,295,94,89.40%,90.40%,6.05,B+ (3.47),B (3.17)
"Shpyrko, Oleg","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt (A)",SP13,292,95,45.30%,88.40%,7.46,B+ (3.39),B (3.16)
"Schoetz, Eva-Maria",PHYS 2D - Phys-Relativity&Quantm Physics (A),SP13,194,56,42.90%,46.40%,9.63,C+ (2.59),C+ (2.54)
"Butov, Leonid",PHYS 2DL - Physics Lab-Modern Physics (A),SP13,44,13,84.60%,84.60%,5.5,A- (3.75),B+ (3.33)
"Hirsch, Jorge Eduardo","PHYS 4B - Phys Majrs-Mech,Fluid,Wav,Heat (A)",SP13,35,15,92.90%,35.70%,9.36,B- (2.83),B (3.22)
"Manohar, Aneesh Vasant",PHYS 4E - Physics Majors-Quantum Physics (A),SP13,15,8,100.00%,100.00%,6.17,B+ (3.50),N/A
"Tytler, David Robert",PHYS 9 - The Solar System (A),SP13,34,12,50.00%,33.30%,3.17,A- (3.80),A- (3.70)
"Tytler, David Robert",PHYS 10 - Concepts In Physics (A),WI13,193,90,58.00%,58.00%,4.69,B (3.29),B (3.08)
"Surko, Clifford M",PHYS 100B - Electromagnetism (A),WI13,61,23,91.30%,65.20%,8.5,B (3.04),B- (2.88)
"Dubin, Daniel Herschel",PHYS 105B - Mathematical&Computational Phy (A),WI13,23,11,90.90%,100.00%,14.9,B+ (3.40),B- (2.82)
"Wu, Congjun",PHYS 110B - Mechanics (A),WI13,36,17,94.10%,76.50%,6.62,B+ (3.67),B (3.15)
"Murphy, Thomas",PHYS 120B - Physical Measurements (A),WI13,18,15,93.30%,86.70%,9.7,A- (3.79),N/A
"Burgasser, Adam Jonathan",PHYS 13 - Life in the Universe (A),WI13,16,10,100.00%,100.00%,4.7,A- (3.88),N/A
"McGreevy, John A.",PHYS 130C - Quantum Physics III (A),WI13,22,20,95.00%,95.00%,8.92,B+ (3.41),B+ (3.35)
"Burgasser, Adam Jonathan",PHYS 139 - Special Topics (B),WI13,6,2,100.00%,100.00%,5.5,A (4.00),N/A
"Melis, Carl Anthony",PHYS 139 - Special Topics (B),WI13,6,4,100.00%,100.00%,8,B+ (3.67),N/A
"Fogler, Michael M.",PHYS 140B - Statistical & Thermal Physics (A),WI13,15,10,70.00%,70.00%,7.39,B (3.11),N/A
"Kuti, Julius",PHYS 141 - Comp Phys I:Prob Models & Simu (A),WI13,7,2,100.00%,100.00%,6.5,B+ (3.50),N/A
"Butov, Leonid",PHYS 152A - Condensed Matter Physics (A),WI13,14,6,100.00%,100.00%,3.17,B+ (3.50),N/A
"Griest, Kim",PHYS 161 - Black Holes & Milky Way Galaxy (A),WI13,28,17,100.00%,100.00%,6.97,B (3.29),B (3.22)
"Hwa, Terence T.",PHYS 176 - Quantitative Molecular Biology (A),WI13,2,1,100.00%,100.00%,0,N/A,N/A
"Abarbanel, Henry Don Isaac",PHYS 178 - Biophysics/Neurons & Networks (A),WI13,10,4,100.00%,75.00%,6.5,B+ (3.50),N/A
"Kleinfeld, David",PHYS 178 - Biophysics/Neurons & Networks (A),WI13,10,4,100.00%,100.00%,7.83,B+ (3.50),N/A
"Smith, Douglas E",PHYS 1A - Mechanics (A),WI13,172,76,70.70%,66.70%,5.69,B (3.11),B- (2.92)
"Yagil, Avi",PHYS 1AL - Mechanics Laboratory (0),WI13,171,75,68.60%,80.00%,4.2,B (3.27),B (3.24)
"Groisman, Alexander",PHYS 1B - Electricity and Magnetism (A),WI13,341,137,65.90%,59.30%,5.74,B (3.03),B- (2.75)
"Groisman, Alexander",PHYS 1B - Electricity and Magnetism (B),WI13,142,59,60.30%,56.90%,5.48,B (3.14),B- (2.75)
"Kishimoto, Chad T.",PHYS 1B - Electricity and Magnetism (C),WI13,90,55,72.20%,83.30%,7.73,B (3.21),B (3.05)
"Yagil, Avi",PHYS 1BL - Electricity & Magnetism Lab (0),WI13,547,216,73.40%,79.00%,3.63,B+ (3.46),B (3.28)
"Branson, James G","PHYS 1C - Waves, Optics & Modern Physics (A)",WI13,121,48,55.30%,29.80%,5.39,B (3.15),B- (2.72)
"Yagil, Avi","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",WI13,121,46,65.90%,68.20%,3.88,B+ (3.51),B+ (3.35)
"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics (A),WI13,193,97,74.70%,30.50%,6.91,B- (2.82),B- (2.82)
"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics (B),WI13,346,147,80.70%,35.90%,6.6,B (3.13),B- (2.82)
"Grinstein, Benjamin",PHYS 2A - Physics-Mechanics (C),WI13,338,137,74.10%,43.70%,6.74,B (3.02),B- (2.82)
"Sinha, Sunil K",PHYS 2B - Phys-Electricity and Magnetism (A),WI13,342,148,80.10%,82.20%,6.92,B+ (3.35),B (3.10)
"Yagil, Avi",PHYS 2BL - Phys Lab-Mechanics&Electrostat (A),WI13,106,45,44.40%,62.20%,6.37,B (3.04),B- (2.91)
"Lin, Shiowhwa","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",WI13,266,110,66.10%,29.40%,5.69,B (3.00),B- (2.83)
"Maple, M. Brian","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt (A)",WI13,223,91,32.20%,63.30%,8.34,B (3.15),B (3.04)
"Branson, James G",PHYS 2D - Phys-Relativity&Quantm Physics (A),WI13,138,51,68.00%,40.00%,6.08,B (3.04),B- (2.72)
"Griest, Kim",PHYS 4A - Physics/Physics Majrs-Mechancs (A),WI13,48,17,94.10%,94.10%,5.68,B (3.18),B- (2.98)
"Manohar, Aneesh Vasant","PHYS 4D - Phys Majrs-EM Wav,Opt,Spec Rel (A)",WI13,15,10,90.00%,90.00%,8.3,B (3.25),N/A
"Keres, Dusan",PHYS 7 - Galaxies and Cosmology (A),WI13,21,15,86.70%,93.30%,4.5,B+ (3.36),B (3.11)
"Surko, Clifford M",PHYS 100A - Electromagnetism (A),FA12,71,29,92.60%,66.70%,7.69,B- (2.96),B- (2.78)
"Dubin, Daniel Herschel",PHYS 105A - Mathematical&Computational Phy (A),FA12,66,25,68.20%,90.90%,12.21,B- (2.95),C+ (2.67)
"Tytler, David Robert",PHYS 11 - Survey of Physics (A),FA12,167,54,84.60%,80.80%,4.54,B+ (3.64),B (3.06)
"Murphy, Thomas",PHYS 110A - Mechanics (A),FA12,70,32,96.60%,86.20%,8.84,B (3.22),B- (2.85)
"Smith, Douglas E",PHYS 121 - Experimental Techniques (A),FA12,21,14,100.00%,100.00%,4.83,B+ (3.67),B+ (3.65)
"Keating, Brian",PHYS 130B - Quantum Physics II (A),FA12,48,46,95.60%,77.80%,6.36,B (3.09),B (3.08)
"Arovas, Daniel P",PHYS 140A - Statistical & Thermal Physics (A),FA12,48,28,91.30%,82.60%,7.68,B (3.09),B (3.01)
"Wolfe, Arthur Michael",PHYS 160 - Stellar Astrophysics (A),FA12,22,11,90.90%,81.80%,6.86,B (3.27),B- (2.88)
"Dudko, Olga",PHYS 175 - Fundamentls/Biological Physics (A),FA12,9,4,100.00%,100.00%,5.5,B+ (3.50),N/A
"Paar, Hans Peter",PHYS 191 - Undergraduate Seminar/Physics (A),FA12,22,12,100.00%,100.00%,2.5,A (4.00),N/A
"Sutterley, Christel Johanna",PHYS 1A - Mechanics (C),FA12,319,116,83.00%,83.00%,5.83,B (3.17),B- (2.99)
"Burgasser, Adam Jonathan",PHYS 1A - Mechanics (D),FA12,172,137,82.20%,88.10%,6.47,B (3.14),B (3.14)
"Burgasser, Adam Jonathan",PHYS 1A - Mechanics (E),FA12,228,192,81.80%,89.30%,7.66,B (3.15),B (3.14)
"Groisman, Alexander",PHYS 1AL - Mechanics Laboratory (0),FA12,694,311,71.00%,69.60%,4.14,B (3.25),B (3.20)
"Maple, M. Brian",PHYS 1B - Electricity and Magnetism (A),FA12,174,65,81.40%,57.60%,5.82,B+ (3.40),B- (2.89)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (A),FA12,22,11,100.00%,77.80%,4.5,B+ (3.56),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (B),FA12,20,7,85.70%,57.10%,2.79,B+ (3.57),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (C),FA12,21,7,66.70%,83.30%,4.1,A- (3.83),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (D),FA12,20,7,57.10%,71.40%,3.36,B (3.29),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (F),FA12,25,7,71.40%,57.10%,3.36,A- (3.71),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (G),FA12,12,3,66.70%,0.00%,1.83,A (4.00),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (H),FA12,20,5,100.00%,100.00%,3.7,A- (3.80),B (3.15)
"Groisman, Alexander",PHYS 1BL - Electricity & Magnetism Lab (I),FA12,15,3,66.70%,66.70%,6.5,C+ (2.33),B (3.15)
"Smith, Douglas E","PHYS 1C - Waves, Optics & Modern Physics (A)",FA12,175,65,73.30%,86.70%,5.52,B+ (3.56),B- (2.94)
"Groisman, Alexander","PHYS 1CL - Waves,Optics&Modrn Phys Lab (0)",FA12,163,55,67.30%,53.10%,4.24,B+ (3.50),B (3.21)
"Sinha, Sunil K",PHYS 2A - Physics-Mechanics (A),FA12,344,162,80.30%,71.80%,7.26,B (3.21),B (3.28)
"Rappel, Wouter Jan",PHYS 2B - Phys-Electricity and Magnetism (A),FA12,342,126,75.60%,84.00%,6.69,B (3.24),C+ (2.48)
"Wuerthwein, Frank",PHYS 2BL - Phys Lab-Mechanics&Electrostat (A),FA12,161,60,62.10%,56.90%,6.09,B+ (3.37),B- (2.95)
"Griest, Kim","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (A)",FA12,210,74,83.30%,88.90%,5.74,B (3.29),C+ (2.67)
"Anderson, Michael G.","PHYS 2C - Physics-Flu,Wav,Thrmdyn,Optics (B)",FA12,295,127,86.80%,95.00%,5.57,B+ (3.34),B- (2.95)
"Anderson, Michael G.","PHYS 2CL - Phys Lab-Elec,Magnetsm,Wav,Opt (A)",FA12,221,92,26.40%,68.90%,8.61,B- (2.99),B (3.03)
"Manohar, Aneesh Vasant",PHYS 4C - Phys Majrs-Elect & Magnetism (A),FA12,17,13,72.70%,72.70%,11.23,C+ (2.33),N/A
"Coil, Alison",PHYS 5 - The Universe (A),FA12,52,20,85.00%,85.00%,4.9,B+ (3.44),B (3.16)
"Fuller, George Michael",PHYS 87 - Freshman Seminar (A),FA12,18,10,88.90%,88.90%,0.5,A (4.00),N/A
"Hicks, J. Charles",PHYS 1A - Mechanics (A),S212,48,6,40.00%,33.30%,8.5,B (3.00),C+ (2.52)
