Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (C),WI17,116,101,96.00%,99.00%,11.01,B+ (3.62),B+ (3.51)
"Swanson, Steven James",CSE 91 - Perspectives in CSE (A),WI17,16,7,100.00%,100.00%,1.07,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (B),WI17,6,3,100.00%,100.00%,1.17,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (C),WI17,12,6,100.00%,100.00%,2.5,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (D),WI17,7,2,100.00%,100.00%,0.5,A (4.00),N/A
"Gillespie, Gary N",CSE 95 - Tutor Apprentice (A),WI17,31,17,87.50%,87.50%,2.38,B+ (3.50),N/A
"Gillespie, Gary N",CSE 95 - Tutor Apprentice (B),WI17,37,25,82.60%,87.00%,1.83,A (4.00),N/A
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (A),FA16,193,175,96.50%,96.50%,11.84,B+ (3.54),B (3.19)
"Alvarado, Christine J.",CSE 100 - Advanced Data Structures (B),FA16,128,117,98.30%,96.60%,11.08,B+ (3.48),B (3.19)
"Sahoo, Debashis",CSE 100 - Advanced Data Structures (C),FA16,137,117,88.80%,71.60%,10.95,B+ (3.31),C+ (2.55)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (A),FA16,148,54,88.20%,86.30%,7.64,B (3.14),B+ (3.39)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (B),FA16,145,75,91.70%,97.20%,7.88,B (3.13),B+ (3.39)
"Jones, Miles E",CSE 101 - Design & Analysis of Algorithm (C),FA16,109,60,96.60%,93.20%,7.92,B (3.27),B+ (3.39)
"Freund, Yoav",CSE 103 - Practical Intro/Prob & Stats (A),FA16,264,121,65.50%,59.50%,5.4,B+ (3.34),B+ (3.55)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (A),FA16,118,50,83.30%,62.50%,8.5,B (3.04),B- (2.99)
"Minnes Kemp, Mor Mia",CSE 105 - Intro/Theory of Computation (B),FA16,209,87,76.70%,97.70%,8.81,B- (2.94),B- (2.84)
"Micciancio, Daniele",CSE 105 - Intro/Theory of Computation (C),FA16,140,64,74.60%,52.50%,9,B- (2.98),B- (2.99)
"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (B),FA16,275,135,91.90%,96.00%,11.98,B+ (3.65),B+ (3.52)
"Ord, Richard",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (D),FA16,258,140,92.10%,97.60%,12.34,A- (3.71),B+ (3.52)
"Kesden, Gregory M",CSE 110 - Software Engineering (A),FA16,176,79,90.50%,73.00%,7.9,B+ (3.68),A- (3.84)
"Weibel, Nadir",CSE 118 - Ubiquitous Computing (A),FA16,33,8,85.70%,85.70%,6.21,B+ (3.57),B+ (3.53)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (A),FA16,131,71,97.00%,92.40%,14.25,B+ (3.44),B- (3.00)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),FA16,112,53,95.70%,97.90%,14.29,B+ (3.40),B- (3.00)
"Langlois, Marina",CSE 12 - Basic Data Struct & OO Design (C),FA16,118,58,94.30%,94.30%,12.58,B+ (3.42),B- (2.83)
"Voelker, Geoffrey M.",CSE 120 - Princ/Computer Operating Systm (A),FA16,242,96,92.10%,96.60%,10.11,B (3.27),B (3.08)
"Zhou, Yuan-Yuan",CSE 120 - Princ/Computer Operating Systm (B),FA16,137,64,82.30%,83.90%,10.87,B (3.12),B- (2.84)
"Savage, Stefan",CSE 123 - Computer Networks (B),FA16,103,34,89.70%,89.70%,10.09,B (3.23),B- (2.77)
"Shacham, Hovav",CSE 127 - Intro to Computer Security (B),FA16,48,16,93.30%,86.70%,11.97,C+ (2.40),B- (2.91)
"Lerner, Sorin",CSE 130 - Progrmng Lang:Princpl&Paradigm (A),FA16,198,151,98.00%,98.70%,8.24,B+ (3.56),B (3.23)
"Lerner, Sorin",CSE 130 - Progrmng Lang:Princpl&Paradigm (B),FA16,110,90,95.60%,97.80%,7.28,B+ (3.63),B (3.23)
"Jhala, Ranjit",CSE 131 - Compiler Construction (A),FA16,155,64,86.90%,98.40%,8.91,B+ (3.33),B- (2.90)
"Vianu, Victor Dan",CSE 132A - Database System Principles (A),FA16,239,81,69.60%,46.80%,6.24,B- (2.75),B- (2.73)
"Orailoglu, Alex",CSE 140 - Component&Desgn Tech/Digtl Sys (A),FA16,43,26,64.00%,32.00%,12.42,C+ (2.52),C+ (2.49)
"Orailoglu, Alex",CSE 140L - Digital Systems Laboratory (A),FA16,44,18,81.30%,62.50%,13,B+ (3.56),C+ (2.53)
"Porter, Leonard Emerson",CSE 141 - Intro/Computer Architecture (A),FA16,271,214,88.30%,96.70%,6.77,B+ (3.36),B- (2.94)
"Eldon, John",CSE 141L - Project/Computer Architecture (A),FA16,120,50,62.50%,93.80%,8.31,B+ (3.50),B+ (3.32)
"Eldon, John",CSE 141L - Project/Computer Architecture (B),FA16,117,64,68.30%,88.90%,8,B+ (3.51),B+ (3.32)
"Cottrell, Garrison W",CSE 150 - Int Artif Intell:Search&Reason (A),FA16,165,66,96.80%,84.10%,8.6,B+ (3.38),B (3.22)
"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (A),FA16,161,80,76.00%,77.30%,4.25,B+ (3.54),B+ (3.41)
"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),FA16,162,80,76.00%,79.70%,4.23,B+ (3.53),B+ (3.41)
"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (C),FA16,132,76,76.50%,84.80%,5.59,B+ (3.34),B+ (3.41)
"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (C),FA16,137,76,77.60%,87.70%,5.48,B+ (3.33),B+ (3.41)
"Altintas De Callaf, Ilkay",CSE 15L - Software Tools&Techniques Lab (D),FA16,105,55,79.60%,79.20%,5.71,B+ (3.52),B+ (3.41)
"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (D),FA16,109,55,79.60%,91.70%,5.71,B+ (3.52),B+ (3.41)
"Ochoa, Benjamin Lawrence",CSE 166 - Image Processing (A),FA16,58,23,77.30%,81.80%,8.79,B+ (3.50),B (3.00)
"Schulze, Jurgen P.",CSE 167 - Computer Graphics (A),FA16,88,24,90.50%,100.00%,14.5,B+ (3.55),B+ (3.34)
"Guo, Philip J",CSE 170 - Interaction Design (A),FA16,136,61,98.20%,94.50%,8.43,A- (3.74),A- (3.74)
"Raiko, Mikhail P.",CSE 180 - Biology Meets Computing (A),FA16,38,16,92.30%,84.60%,5.5,A- (3.80),A- (3.71)
"Cottrell, Garrison W",CSE 190 - Topics/Computer Sci & Engineer (A),FA16,71,24,95.70%,78.30%,11.64,B+ (3.35),B (3.16)
"Paturi, Ramamohan",CSE 190 - Topics/Computer Sci & Engineer (B),FA16,65,26,92.30%,96.20%,6.83,A- (3.83),B+ (3.63)
"Deutsch, Alin Bernard",CSE 190 - Topics/Computer Sci & Engineer (D),FA16,52,20,63.20%,63.20%,4.62,B+ (3.37),B+ (3.64)
"Kumar, Rakesh",CSE 190 - Topics/Computer Sci & Engineer (E),FA16,51,35,90.90%,93.90%,4.44,A- (3.79),B+ (3.62)
"Alvarado, Christine J.",CSE 191 - Semnr/Computer Sci & Engineer (B),FA16,39,18,94.40%,88.90%,8.25,A (4.00),B (3.15)
"Minnes Kemp, Mor Mia",CSE 191 - Semnr/Computer Sci & Engineer (C),FA16,8,3,100.00%,100.00%,5.5,N/A,N/A
"Halicioglu, Daniel T",CSE 191 - Semnr/Computer Sci & Engineer (D),FA16,36,13,75.00%,91.70%,0.7,A (4.00),A- (3.93)
"Lovett, Shachar",CSE 20 - Intro/Discrete Mathematics (A),FA16,143,112,91.70%,91.70%,6.19,B+ (3.56),B+ (3.60)
"Lovett, Shachar",CSE 20 - Intro/Discrete Mathematics (B),FA16,190,136,91.80%,85.80%,6.64,B+ (3.60),B+ (3.60)
"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (A),FA16,181,89,89.30%,91.70%,7.76,B (3.16),B (3.00)
"Tiefenbruck, Janine LoBue",CSE 21 - Math/Algorithm&Systems Analys (B),FA16,190,85,85.40%,95.10%,7.6,B (3.16),B (3.00)
"Marx, Susan S",CSE 3 - Fluency/Information Technology (A),FA16,185,89,94.10%,70.60%,3.83,B+ (3.54),B (3.28)
"Marx, Susan S",CSE 3 - Fluency/Information Technology (B),FA16,183,97,91.60%,84.20%,3.7,B+ (3.60),B (3.28)
"Mirza, Diba",CSE 30 - Computer Organiz&Systms Progrm (B),FA16,133,52,94.00%,94.00%,10.42,B (3.24),B (3.16)
"Mirza, Diba",CSE 30 - Computer Organiz&Systms Progrm (C),FA16,183,85,95.10%,85.20%,10.33,B (3.28),B (3.16)
"Marx, Susan S",CSE 5A - Introduction to Programming I (A),FA16,100,52,91.50%,87.20%,5.95,B+ (3.30),B- (2.88)
"Papakonstantinou, Yannis",CSE 87 - Freshman Seminar (B),FA16,14,13,91.70%,100.00%,0.67,A (4.00),N/A
"Cao, Yingjun",CSE 8A - Intro/Computer Sci: Java (I) (A),FA16,365,349,97.70%,98.60%,8.05,B+ (3.67),B (3.29)
"Langlois, Marina",CSE 8A - Intro/Computer Sci: Java (I) (C),FA16,181,165,94.50%,87.80%,7.58,B+ (3.36),B+ (3.36)
"Langlois, Marina",CSE 8A - Intro/Computer Sci: Java (I) (D),FA16,144,136,95.50%,96.30%,7.81,B+ (3.48),B+ (3.36)
"Cao, Yingjun",CSE 8B - Intro/Computer Sci. Java (II) (A),FA16,88,77,89.60%,98.70%,11.67,B+ (3.32),B- (2.90)
"Swanson, Steven James",CSE 91 - Perspectives in CSE (A),FA16,20,13,90.90%,90.90%,1.59,N/A,N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (B),FA16,20,10,100.00%,100.00%,2.06,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (C),FA16,17,10,90.00%,90.00%,2.9,A (4.00),N/A
"Swanson, Steven James",CSE 91 - Perspectives in CSE (D),FA16,18,10,90.00%,90.00%,2.3,A (4.00),N/A
"Gillespie, Gary N",CSE 95 - Tutor Apprentice (A),FA16,69,58,85.70%,98.20%,1.48,A (4.00),N/A
"Cao, Yingjun",CSE 95 - Tutor Apprentice (B),FA16,64,55,87.30%,98.20%,1.38,A- (3.88),N/A
"Cao, Yingjun",CSE 100 - Advanced Data Structures (A),S216,61,53,94.20%,94.20%,14.29,B+ (3.37),B (3.01)
"Marx, Susan S",CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S216,39,17,68.80%,50.00%,11.38,B+ (3.44),B- (2.99)
"Gillespie, Gary N",CSE 12 - Basic Data Struct & OO Design (B),S216,32,29,92.90%,85.70%,16,B+ (3.67),B (3.17)
"Powell, Thomas Allan",CSE 135 - Server-side Web Applications (A),S216,35,8,100.00%,100.00%,10.75,B (3.25),B (3.29)
"Chu, Isaac Y",CSE 136 - Enterprise-class Web Applcatns (A),S216,29,10,100.00%,100.00%,6.5,B+ (3.50),B+ (3.56)
"Mercati, Pietro",CSE 140 - Component&Desgn Tech/Digtl Sys (A),S216,69,38,100.00%,100.00%,8.28,A- (3.70),A- (3.72)
"Mercati, Pietro",CSE 140L - Digital Systems Laboratory (A),S216,56,31,90.30%,100.00%,7.34,A- (3.81),A- (3.71)
"Gillespie, Gary N",CSE 15L - Software Tools&Techniques Lab (A),S216,32,30,96.70%,86.70%,7.03,B+ (3.50),B+ (3.61)
