Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bussey, Thomas J",No CAPEs submitted,FA16,8,0,N/A,N/A,N/A,N/A,N/A
"Luthi, Andrea J",CHEM 12 - Molecules and Reactions (A),S216,13,12,83.30%,91.70%,5.59,B+ (3.30),N/A
"Ternansky, Robert J.",CHEM 140A - Organic Chemistry I (A),S216,69,42,81.00%,92.90%,14.5,B (3.12),C+ (2.63)
"Oconnor, Joseph M.",CHEM 140A - Organic Chemistry I (B),S216,23,10,80.00%,70.00%,9.9,B (3.20),B (3.25)
"Oconnor, Joseph M.",CHEM 140B - Organic Chemistry II (A),S216,155,34,93.90%,93.90%,13.21,B (3.10),C+ (2.56)
"Albizati, Kim F.",CHEM 140C - Organic Chemistry III (A),S216,162,35,97.00%,100.00%,11.17,B (3.21),B- (2.80)
"Fisher, Kaitlin Mallory",CHEM 6A - General Chemistry I (A),S216,64,30,96.60%,93.10%,7.33,B+ (3.62),B+ (3.51)
"Johnson, Christina A",CHEM 6B - General Chemistry II (A),S216,37,13,92.30%,84.60%,11.58,C+ (2.69),C+ (2.69)
"Johnson, Christina A",CHEM 6C - General Chemistry III (A),S216,71,19,82.40%,100.00%,10.97,B- (2.76),B- (2.73)
"Finzel, Kara",CHEM 11 - The Periodic Table (A),S116,43,16,87.50%,93.80%,5.25,A- (3.80),B- (2.90)
"Bussey, Thomas J",CHEM 114A - Biochemical Structure&Function (A),S116,63,23,95.20%,95.20%,9.7,B+ (3.67),B- (2.97)
"Boerneke, Mark Andrew",CHEM 140A - Organic Chemistry I (A),S116,167,140,87.10%,95.00%,11.16,B- (2.86),B- (2.73)
"Weizman, Haim",CHEM 140B - Organic Chemistry II (A),S116,129,31,86.20%,96.60%,10.57,B (3.14),B- (2.73)
"Albizati, Kim F.",CHEM 140C - Organic Chemistry III (A),S116,96,19,94.10%,100.00%,10.74,B+ (3.35),C+ (2.66)
"Weizman, Haim",CHEM 143A - Organic Chemistry Laboratory (A),S116,132,28,84.00%,84.00%,11.3,B (3.16),B- (2.97)
"Ternansky, Robert J.",CHEM 143B - Organic Chemistry Laboratory (A),S116,36,15,92.90%,85.70%,10.93,B (3.07),B+ (3.40)
"Hoeger, Carl",CHEM 6A - General Chemistry I (A),S116,51,8,87.50%,87.50%,8.25,B (3.25),B (3.06)
"Bussey, Thomas J",CHEM 6B - General Chemistry II (A),S116,56,12,100.00%,100.00%,8.5,B (3.00),B- (2.86)
"Hoeger, Carl",CHEM 6C - General Chemistry III (A),S116,58,15,84.60%,92.30%,10.96,B (3.09),B (3.19)
"Berniolles, Sandrine",CHEM 7L - General Chemistry Laboratory (A),S116,135,49,79.50%,87.20%,9.45,B+ (3.34),B (3.10)
"Fisher, Kaitlin Mallory",CHEM 7L - General Chemistry Laboratory (B),S116,152,59,90.70%,94.40%,7.12,B+ (3.48),B+ (3.47)
"Pomeroy, Robert S.",CHEM 100A - Analytical Chemistry Lab (A),SP16,80,41,69.20%,89.70%,7.83,B (3.03),B- (2.84)
"Pomeroy, Robert S.",CHEM 100B - Instrumental Chemistry Lab (A),SP16,20,6,100.00%,100.00%,5.3,B (3.20),B- (2.98)
"Xiong, Wei",CHEM 105A - Physical Chemistry Laboratory (A),SP16,46,20,55.60%,88.90%,8.5,B (3.06),B (3.23)
"Xiong, Wei",CHEM 105B - Physical Chemistry Laboratory (A),SP16,2,2,100.00%,100.00%,6.5,B (3.00),N/A
"Huang, Xuemei",CHEM 108 - Protein Biochemistry Lab (A),SP16,51,18,100.00%,100.00%,9.43,B+ (3.47),B+ (3.48)
"Mrse, Anthony Adrian",CHEM 108 - Protein Biochemistry Lab (A),SP16,51,17,100.00%,100.00%,9.43,B+ (3.47),B+ (3.48)
"Wang, Wei",CHEM 11 - The Periodic Table (A),SP16,199,170,81.20%,72.90%,4.05,B+ (3.36),B (3.13)
"Komives, Elizabeth A",CHEM 113 - Physical Chem/Biol Macromolec (A),SP16,15,9,100.00%,100.00%,6.5,A- (3.88),N/A
"Wollman, Roy",CHEM 114B - Biochem Energetics&Metabolism (A),SP16,38,15,100.00%,71.40%,5.93,B+ (3.64),B (3.20)
"Joseph, Simpson",CHEM 114C - Biosynthesis of Macromolecules (A),SP16,148,44,77.30%,61.40%,6.95,B (3.00),B- (2.70)
"Sailor, Michael Joseph",CHEM 123 - Advanced Inorganic Chem Lab (A),SP16,15,8,100.00%,100.00%,4.5,A- (3.80),N/A
"Cohen, Seth M",CHEM 125 - Bioinorganic Chemistry (A),SP16,11,10,90.00%,100.00%,5.5,B- (2.90),N/A
"Tezcan, Faik",CHEM 125 - Bioinorganic Chemistry (A),SP16,12,9,88.90%,88.90%,5.61,B- (2.78),N/A
"Crowell, John E",CHEM 126 - Physical Chem: Quantum Mech (A),SP16,44,16,73.30%,80.00%,8.23,B- (2.73),B- (2.97)
"Villa Rodriguez, Elizabeth",CHEM 127 - Physical Chem: Thermodynamics (A),SP16,90,62,82.00%,90.20%,5.71,B (3.15),B- (2.91)
"Opella, Stanley J",CHEM 13 - Chemistry of Life (A),SP16,60,29,44.40%,55.60%,4.57,B (3.07),B- (2.91)
"Galperin, Michael",CHEM 132 - Chem Physics: Stat Thermo II (A),SP16,42,23,73.90%,82.60%,7.77,B- (2.85),B- (2.77)
"Sinha, Amitabha",CHEM 135 - Molecular Spectroscopy (A),SP16,3,2,50.00%,100.00%,7.5,B (3.00),N/A
"Ternansky, Robert J.",CHEM 140A - Organic Chemistry I (A),SP16,209,109,78.60%,82.50%,9.85,B- (2.86),C+ (2.67)
"Siegel, Dionicio R.",CHEM 140B - Organic Chemistry II (A),SP16,387,276,92.60%,95.90%,6.94,B (3.16),C+ (2.34)
"Weizman, Haim",CHEM 140B - Organic Chemistry II (B),SP16,323,119,72.20%,85.20%,8.48,B- (2.76),C+ (2.69)
"Albizati, Kim F.",CHEM 140C - Organic Chemistry III (A),SP16,403,144,85.80%,93.30%,7.97,B (3.13),B- (2.72)
"Hoeger, Carl",CHEM 140C - Organic Chemistry III (B),SP16,195,84,83.30%,80.80%,8.53,B- (2.99),B (3.08)
"Tor, Yitzhak",CHEM 140CH - Honors Organic Chemistry (A),SP16,70,36,94.30%,97.10%,6.96,B+ (3.65),B+ (3.67)
"Albizati, Kim F.",CHEM 143A - Organic Chemistry Laboratory (A),SP16,458,167,88.00%,98.00%,6.51,B+ (3.33),B (3.03)
"Ternansky, Robert J.",CHEM 143B - Organic Chemistry Laboratory (A),SP16,82,30,96.30%,92.60%,6.81,B (3.12),B+ (3.31)
"Perrin, Charles L.",CHEM 146 - Kinetics & Mechan of Org React (A),SP16,7,3,100.00%,100.00%,9.5,B+ (3.50),N/A
"Weizman, Haim",CHEM 151 - Molecules That Changed World (A),SP16,64,36,87.90%,90.90%,3.77,B+ (3.42),B+ (3.57)
"Burkart, Michael D",CHEM 157 - Natural Products Chemistry (A),SP16,26,10,90.00%,100.00%,4.7,B (3.20),B+ (3.40)
"Molinski, Tadeusz",CHEM 158 - Applied Spectroscopy (A),SP16,3,2,100.00%,100.00%,4.5,B (3.00),N/A
"Baker, Timothy Stanley",CHEM 164 - Structural Biology of Viruses (A),SP16,30,12,75.00%,91.70%,5.83,B+ (3.33),B (3.24)
"Evan, Amato Tomas",CHEM 173 - Atmospheric Chemistry (A),SP16,15,2,100.00%,50.00%,1.5,B+ (3.50),N/A
"Molina, Mario",CHEM 173 - Atmospheric Chemistry (A),SP16,15,2,100.00%,100.00%,1.5,B+ (3.50),N/A
"Prather, Kimberly A",CHEM 173 - Atmospheric Chemistry (A),SP16,14,2,100.00%,100.00%,1.5,B+ (3.50),N/A
"Ramanathan, Veerabhadran",CHEM 173 - Atmospheric Chemistry (A),SP16,15,2,100.00%,100.00%,1.5,B+ (3.50),N/A
"Dickson, Andrew Gilmore",CHEM 174 - Chem Prin of Marine Systems (A),SP16,34,12,77.80%,88.90%,4.72,B+ (3.44),B- (2.85)
"Bafna, Vineet",CHEM 182 - Biological Databases (A),SP16,4,2,100.00%,50.00%,12.5,C+ (2.50),N/A
